".Phillips County, Colorado","Phillips County, Colorado",Colorado,"4,265",4265
".Pitkin County, Colorado","Pitkin County, Colorado",Colorado,"17,767",17767
".Prowers County, Colorado","Prowers County, Colorado",Colorado,"12,172",12172
".Pueblo County, Colorado","Pueblo County, Colorado",Colorado,"168,424",168424
".Rio Blanco County, Colorado","Rio Blanco County, Colorado",Colorado,"6,324",6324
".Rio Grande County, Colorado","Rio Grande County, Colorado",Colorado,"11,267",11267
".Routt County, Colorado","Routt County, Colorado",Colorado,"25,638",25638
".Saguache County, Colorado","Saguache County, Colorado",Colorado,"6,824",6824
".San Juan County, Colorado","San Juan County, Colorado",Colorado,728,728
".San Miguel County, Colorado","San Miguel County, Colorado",Colorado,"8,179",8179
".Sedgwick County, Colorado","Sedgwick County, Colorado",Colorado,"2,248",2248
".Summit County, Colorado","Summit County, Colorado",Colorado,"31,011",31011
".Teller County, Colorado","Teller County, Colorado",Colorado,"25,388",25388
".Washington County, Colorado","Washington County, Colorado",Colorado,"4,908",4908
".Weld County, Colorado","Weld County, Colorado",Colorado,"324,492",324492
".Yuma County, Colorado","Yuma County, Colorado",Colorado,"10,019",10019
".Fairfield County, Connecticut","Fairfield County, Connecticut",Connecticut,"943,332",943332
".Hartford County, Connecticut","Hartford County, Connecticut",Connecticut,"891,720",891720
".Litchfield County, Connecticut","Litchfield County, Connecticut",Connecticut,"180,333",180333
".Middlesex County, Connecticut","Middlesex County, Connecticut",Connecticut,"162,436",162436
".New Haven County, Connecticut","New Haven County, Connecticut",Connecticut,"854,757",854757
".New London County, Connecticut","New London County, Connecticut",Connecticut,"265,206",265206
".Tolland County, Connecticut","Tolland County, Connecticut",Connecticut,"150,721",150721
".Windham County, Connecticut","Windham County, Connecticut",Connecticut,"116,782",116782
".Kent County, Delaware","Kent County, Delaware",Delaware,"180,786",180786
".New Castle County, Delaware","New Castle County, Delaware",Delaware,"558,753",558753
".Sussex County, Delaware","Sussex County, Delaware",Delaware,"234,225",234225
".District of Columbia, District of Columbia","District of Columbia, District of Columbia",District of Columbia,"705,749",705749
".Alachua County, Florida","Alachua County, Florida",Florida,"269,043",269043
".Baker County, Florida","Baker County, Florida",Florida,"29,210",29210
".Bay County, Florida","Bay County, Florida",Florida,"174,705",174705
".Bradford County, Florida","Bradford County, Florida",Florida,"28,201",28201
".Brevard County, Florida","Brevard County, Florida",Florida,"601,942",601942
".Broward County, Florida","Broward County, Florida",Florida,"1,952,778",1952778
".Calhoun County, Florida","Calhoun County, Florida",Florida,"14,105",14105
".Charlotte County, Florida","Charlotte County, Florida",Florida,"188,910",188910
".Citrus County, Florida","Citrus County, Florida",Florida,"149,657",149657
".Clay County, Florida","Clay County, Florida",Florida,"219,252",219252
".Collier County, Florida","Collier County, Florida",Florida,"384,902",384902
".Columbia County, Florida","Columbia County, Florida",Florida,"71,686",71686
".DeSoto County, Florida","DeSoto County, Florida",Florida,"38,001",38001
".Dixie County, Florida","Dixie County, Florida",Florida,"16,826",16826
".Duval County, Florida","Duval County, Florida",Florida,"957,755",957755
".Escambia County, Florida","Escambia County, Florida",Florida,"318,316",318316
".Flagler County, Florida","Flagler County, Florida",Florida,"115,081",115081
".Franklin County, Florida","Franklin County, Florida",Florida,"12,125",12125
".Gadsden County, Florida","Gadsden County, Florida",Florida,"45,660",45660
".Gilchrist County, Florida","Gilchrist County, Florida",Florida,"18,582",18582
".Glades County, Florida","Glades County, Florida",Florida,"13,811",13811
".Gulf County, Florida","Gulf County, Florida",Florida,"13,639",13639
".Hamilton County, Florida","Hamilton County, Florida",Florida,"14,428",14428
".Hardee County, Florida","Hardee County, Florida",Florida,"26,937",26937
".Hendry County, Florida","Hendry County, Florida",Florida,"42,022",42022
".Hernando County, Florida","Hernando County, Florida",Florida,"193,920",193920
".Highlands County, Florida","Highlands County, Florida",Florida,"106,221",106221
".Hillsborough County, Florida","Hillsborough County, Florida",Florida,"1,471,968",1471968
".Holmes County, Florida","Holmes County, Florida",Florida,"19,617",19617
".Indian River County, Florida","Indian River County, Florida",Florida,"159,923",159923
".Jackson County, Florida","Jackson County, Florida",Florida,"46,414",46414
".Jefferson County, Florida","Jefferson County, Florida",Florida,"14,246",14246
".Lafayette County, Florida","Lafayette County, Florida",Florida,"8,422",8422
".Lake County, Florida","Lake County, Florida",Florida,"367,118",367118
".Lee County, Florida","Lee County, Florida",Florida,"770,577",770577
".Leon County, Florida","Leon County, Florida",Florida,"293,582",293582
".Levy County, Florida","Levy County, Florida",Florida,"41,503",41503
".Liberty County, Florida","Liberty County, Florida",Florida,"8,354",8354
".Madison County, Florida","Madison County, Florida",Florida,"18,493",18493
".Manatee County, Florida","Manatee County, Florida",Florida,"403,253",403253
".Marion County, Florida","Marion County, Florida",Florida,"365,579",365579
".Martin County, Florida","Martin County, Florida",Florida,"161,000",161000
".Miami-Dade County, Florida","Miami-Dade County, Florida",Florida,"2,716,940",2716940
".Monroe County, Florida","Monroe County, Florida",Florida,"74,228",74228
".Nassau County, Florida","Nassau County, Florida",Florida,"88,625",88625
".Okaloosa County, Florida","Okaloosa County, Florida",Florida,"210,738",210738
".Okeechobee County, Florida","Okeechobee County, Florida",Florida,"42,168",42168
".Orange County, Florida","Orange County, Florida",Florida,"1,393,452",1393452
".Osceola County, Florida","Osceola County, Florida",Florida,"375,751",375751
".Palm Beach County, Florida","Palm Beach County, Florida",Florida,"1,496,770",1496770
".Pasco County, Florida","Pasco County, Florida",Florida,"553,947",553947
".Pinellas County, Florida","Pinellas County, Florida",Florida,"974,996",974996
".Polk County, Florida","Polk County, Florida",Florida,"724,777",724777
".Putnam County, Florida","Putnam County, Florida",Florida,"74,521",74521
".St. Johns County, Florida","St. Johns County, Florida",Florida,"264,672",264672
".St. Lucie County, Florida","St. Lucie County, Florida",Florida,"328,297",328297
".Santa Rosa County, Florida","Santa Rosa County, Florida",Florida,"184,313",184313
".Sarasota County, Florida","Sarasota County, Florida",Florida,"433,742",433742
".Seminole County, Florida","Seminole County, Florida",Florida,"471,826",471826
".Sumter County, Florida","Sumter County, Florida",Florida,"132,420",132420
".Suwannee County, Florida","Suwannee County, Florida",Florida,"44,417",44417
".Taylor County, Florida","Taylor County, Florida",Florida,"21,569",21569
".Union County, Florida","Union County, Florida",Florida,"15,237",15237
".Volusia County, Florida","Volusia County, Florida",Florida,"553,284",553284
".Wakulla County, Florida","Wakulla County, Florida",Florida,"33,739",33739
".Walton County, Florida","Walton County, Florida",Florida,"74,071",74071
".Washington County, Florida","Washington County, Florida",Florida,"25,473",25473
".Appling County, Georgia","Appling County, Georgia",Georgia,"18,386",18386
